method,scenario,seed,status,global_search_p,critical_score,n_true_breaks_all,n_true_breaks_slope,n_raw_breaks,n_slope_breaks,segment_ari,segment_nmi,segment_row_accuracy,boundary_displacement,relative_coefficient_error,intercept_error,joint_test_loss_pooled,joint_test_loss_segmented,joint_test_loss_oracle,oracle_improvement_recovered,false_slope_attribution,runtime_seconds,raw_break_precision,raw_break_recall,raw_break_f1,raw_break_fdr,raw_break_count_error,raw_break_exact_set,raw_break_localization_mae,raw_break_localization_median,raw_break_localization_rmse,raw_break_localization_normalized,raw_break_any_detection,slope_break_precision,slope_break_recall,slope_break_f1,slope_break_fdr,slope_break_count_error,slope_break_exact_set,slope_break_localization_mae,slope_break_localization_median,slope_break_localization_rmse,slope_break_localization_normalized,slope_break_any_detection,bootstrap_break_jaccard,bootstrap_any_break_frequency,bootstrap_mean_break_count,bootstrap_detected_break_frequency,bootstrap_location_interval_width,bootstrap_location_ci_coverage,slope_0pct_precision,slope_0pct_recall,slope_0pct_f1,slope_0pct_fdr,slope_0pct_count_error,slope_0pct_exact_set,slope_0pct_localization_mae,slope_0pct_localization_median,slope_0pct_localization_rmse,slope_0pct_localization_normalized,slope_0pct_any_detection,slope_2pct_precision,slope_2pct_recall,slope_2pct_f1,slope_2pct_fdr,slope_2pct_count_error,slope_2pct_exact_set,slope_2pct_localization_mae,slope_2pct_localization_median,slope_2pct_localization_rmse,slope_2pct_localization_normalized,slope_2pct_any_detection,slope_5pct_precision,slope_5pct_recall,slope_5pct_f1,slope_5pct_fdr,slope_5pct_count_error,slope_5pct_exact_set,slope_5pct_localization_mae,slope_5pct_localization_median,slope_5pct_localization_rmse,slope_5pct_localization_normalized,slope_5pct_any_detection
temporal_split_detection,sparse_coefficient_break,0,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9343349417782576,0.8941355940977418,0.9833333333333333,0.01666666666666672,0.09174046334345934,0.06731650374251329,0.3590978774330568,0.30424289144377376,0.2958589760267467,0.8674247143675003,0.0,0.3400745859980816,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,0.016666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,0.016666666666666666,1.0
temporal_split_detection,sparse_coefficient_break,1,ok,0.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.12075835220781965,0.05954390159996341,0.33103860065397644,0.27626627093054973,0.27626627093054973,1.0,0.0,0.6734731180040399,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
temporal_split_detection,sparse_coefficient_break,2,ok,0.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08604608083175823,0.027358282884971233,0.2847622279713707,0.22601636833770597,0.22601636833770597,1.0,0.0,0.30109711799013894,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
temporal_split_detection,sparse_coefficient_break,3,ok,0.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1153465996953772,0.06871703123204048,0.3234418504040055,0.2766668240698406,0.2766668240698406,1.0,0.0,0.6127692549925996,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
temporal_split_detection,sparse_coefficient_break,4,ok,0.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07897359944573,0.037479044492734606,0.2677098415170489,0.22080736049201946,0.22080736049201946,1.0,0.0,0.5812227360001998,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
temporal_split_detection,intercept_only_break,0,ok,0.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09715387211751304,0.05993585957737712,0.3928530893560456,0.29513391761705376,0.29513391761705376,1.0,0.0,0.21571692699217238,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0
temporal_split_detection,intercept_only_break,1,ok,0.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1393713209732635,0.05914986531084038,0.4059331409073617,0.2966794740632723,0.2966794740632723,1.0,0.0,0.4588473339972552,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0
temporal_split_detection,intercept_only_break,2,ok,0.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09183707029601852,0.02849586730912204,0.32095015691313883,0.2261055510901019,0.2261055510901019,1.0,0.0,0.3866175950097386,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0
temporal_split_detection,intercept_only_break,3,ok,0.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11453994504673419,0.06565573654407711,0.3455801993490057,0.2608367930640835,0.2608367930640835,1.0,0.0,0.450419671004056,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0
temporal_split_detection,intercept_only_break,4,ok,0.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09344825959592569,0.04107126606183559,0.3776665361260016,0.275106125548047,0.275106125548047,1.0,0.0,0.5920832170086214,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0
