method,scenario,seed,status,split_detected,n_true_splits,n_detected_splits,selected_root_feature,root_feature_exact_hit,root_feature_proxy_family_hit,permutation_p,feature_precision,feature_recall,feature_f1,feature_fdr,split_count_absolute_error,threshold_mae_iqr,regime_ari,regime_nmi,regime_row_accuracy,minimum_leaf_fraction,relative_parameter_error,intercept_error,joint_test_loss_pooled,joint_test_loss_partitioned,joint_test_loss_predictive_tree,joint_test_loss_oracle,delta_loss_pooled,oracle_improvement_recovered,rmse,runtime_seconds,bootstrap_support_jaccard,bootstrap_threshold_median,bootstrap_threshold_q05,bootstrap_threshold_q95,bootstrap_leaf_count_mode,bootstrap_root_frequency_X1,bootstrap_root_frequency_X2,bootstrap_root_frequency_X3,bootstrap_root_frequency_X4,bootstrap_root_frequency_X5,bootstrap_root_frequency_X6,bootstrap_root_frequency_X7,bootstrap_root_frequency_X8,bootstrap_root_frequency_X9,bootstrap_root_frequency_X10,bootstrap_root_frequency_X11,bootstrap_root_frequency_X12,bootstrap_root_frequency_X13,bootstrap_root_frequency_X14,bootstrap_root_frequency_X15,bootstrap_root_frequency_X16,bootstrap_root_frequency_X17,bootstrap_root_frequency_X18,bootstrap_root_frequency_X19,bootstrap_root_frequency_X20
causal_model_determination,unbalanced_regimes,0,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.024531878094825127,0.9591340948244172,0.912661123717933,0.9914285714285714,0.1757142857142857,0.20126642932177052,0.07326644402894382,0.5228157525952867,0.4899790517750871,0.7801270282490916,0.4907559652810816,0.03283670082019957,1.0242332707444468,0.6695460335548711,4.012652697987505,0.4,0.9694390871858448,0.8993678335554359,1.003742722868506,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,unbalanced_regimes,1,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.03483231637273447,0.9408131797931053,0.8804692155065025,0.9885714285714285,0.15714285714285714,0.1322695749465347,0.0628405162209688,0.4086303103501758,0.38208477229916143,0.7028089113900301,0.37938048335087293,0.02654553805101434,0.9075451301522925,0.6063099727979724,2.0696207509899978,0.33333333333333337,0.9904554777222063,0.9519504069223063,1.0289605485221063,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,unbalanced_regimes,2,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.016625056291303498,0.9657085161443982,0.9240018996174731,0.9928571428571429,0.1742857142857143,0.10814247155649717,0.03319659281359702,0.2944870518393211,0.26564253835594737,0.5118483780428819,0.2633555440528495,0.028844513483373746,0.9265376313031747,0.4953414108828222,3.1825516269891523,0.45,0.916599048278033,0.8094001446446059,1.0316605759782267,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,unbalanced_regimes,3,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.029788826280614262,0.9450680786632977,0.8891994098421346,0.9885714285714285,0.17,0.12013124899864451,0.0425216980081774,0.24764789945167412,0.23416999892191534,0.5454451971475951,0.23169390848442714,0.01347790052975878,0.8447980544447135,0.5017222348584092,3.7371282140084077,0.125,0.5002703074757779,-0.9852716265508934,1.0897968239171092,3.0,0.2,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,unbalanced_regimes,4,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.03139181283493644,0.9416826047479274,0.8821902451308843,0.9885714285714285,0.15,0.11524300730750184,0.08924181989705193,0.3394113648850096,0.31922923156768174,0.7010259558795761,0.31653042756093414,0.020182133317327877,0.8820501114738905,0.5559291655445392,2.6246025000000373,0.6333333333333333,0.9319195684689784,0.9104559659981493,1.0552356980135198,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_outcomes,0,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.020555857074077557,0.9214879672716482,0.8780410502799977,0.98,0.4642857142857143,0.17111840255213404,0.06024244133500119,0.5445562412592714,0.5098923319989851,0.7579147523146995,0.5082697880727979,0.034663909260286285,0.955285133053675,0.690928186139299,3.6069072029931704,0.575,0.0015576055819325058,-0.07872518439235385,0.021921610518969115,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_outcomes,1,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5057142857142857,1.0,0.1854493849140411,0.04376982680996367,0.4146358919945099,0.41463589155791913,0.6898473902491213,0.40156863605741816,4.365907635417443e-10,3.3411051688554625e-08,0.6277620990148322,2.01209120900603,0.6,0.5201222967278949,0.5201222967278949,0.5201222967278949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_outcomes,2,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5285714285714286,1.0,0.09132544061880402,0.025837584641132637,0.2721344181797867,0.27213441810138517,0.4883786700677266,0.27206506103131023,7.840150750837438e-11,1.1304026943235776e-06,0.5027405082430304,1.449941011989722,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_outcomes,3,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5128571428571429,1.0,0.12985775177505965,0.05200025199529522,0.2486199610886012,0.24861996069548584,0.5484188195566045,0.24363228854064856,3.931153735869941e-10,7.881739825690052e-08,0.5155330403537298,1.7369894349976676,0.32,-0.8522018934420051,-1.0518064931053375,-0.6525972937786728,1.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_outcomes,4,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.05117199256584283,0.8942248000887767,0.8465395706065985,0.9728571428571429,0.46714285714285714,0.07798635839265211,0.07506260533671892,0.31677495478453077,0.2961573299981453,0.6753857010167309,0.2954973139674186,0.020617624786385458,0.9689807701709142,0.5380551650817292,3.1852098390081665,0.6333333333333333,0.03593319789856263,-0.04170264422620291,0.053266564871168355,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_splits,0,ok,1.0,2.0,2.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.003954876169138308,0.9684512948208964,0.938772999273674,0.9857142857142858,0.22285714285714286,0.15666481945835742,0.0592739825123012,0.5216435141582109,0.4474027290729783,0.8074819611758124,0.444160971322312,0.07424078508523257,0.958161443442402,0.6768970527788464,3.689413957996294,1.0,0.05459042432380486,0.010689922142779282,0.1524950182179344,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_splits,1,ok,1.0,2.0,2.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.026007794840899854,0.9332090430290333,0.9100859130653489,0.9785714285714285,0.24428571428571427,0.1369525340645129,0.09292340476697963,0.5142281186910387,0.411343962653236,0.7441012532956304,0.4032761838027259,0.10288415603780271,0.9272858210302387,0.6031662541298154,3.710784146998776,1.0,0.08229601207432138,0.04648371007922857,0.1095857962349906,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_splits,2,ok,1.0,2.0,2.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.012483618425872171,0.9767417119781069,0.9541698565588549,0.9914285714285714,0.21571428571428572,0.08534062332336423,0.07504625384934933,0.34131246958768907,0.2697576547162302,0.5795397280808984,0.26906217035984326,0.07155481487145887,0.9903739588095866,0.5240294761215345,2.687796079990221,0.7333333333333333,-0.03911349883216102,-0.04612709295690468,0.06167835997576106,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_splits,3,ok,1.0,2.0,2.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.036599659381963454,0.8923471249273739,0.840182486997622,0.9585714285714285,0.22,0.06389794648006938,0.057320231021307545,0.3114723709544268,0.17811349414307961,0.5538217752021201,0.17067779940764086,0.1333588768113472,0.9471876319253695,0.41781153571950413,2.8184302959998604,0.7,-0.005298080677161033,-0.04790799163786714,0.035522091803930525,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,multiple_splits,4,ok,1.0,2.0,2.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.002028258425021534,0.9852756793426451,0.9686359559479935,0.9928571428571429,0.24285714285714285,0.10008617278936184,0.08284909976641558,0.3396354595130238,0.2591328517331391,0.6864860844396928,0.2577377668111339,0.08050260777988472,0.9829655161704819,0.47648903534147324,2.865945235986146,0.75,-0.028017031878090858,-0.07389368696446433,0.02138349514722321,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,global_nonlinearity_correct,0,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.25247038698148866,0.2524703867386538,0.5781987180958316,0.25247038698148866,2.428348633287669e-10,,0.5265625962755873,1.4288256569998339,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,global_nonlinearity_correct,1,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.2773012178145525,0.27730121769459376,0.5702737416639736,0.2773012178145525,1.199587651434797e-10,,0.514664118157071,1.3061519140028395,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,global_nonlinearity_correct,2,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.95,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.28884130879665665,0.2888413083786258,0.5262943271854312,0.28884130879665665,4.180308321721782e-10,,0.5388322096902161,1.180470396997407,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,global_nonlinearity_correct,3,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.6,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.2996007041233634,0.2996007040071785,0.5679911127709674,0.2996007041233634,1.161849505493251e-10,,0.5512885706491412,1.0153497720020823,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,global_nonlinearity_correct,4,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.55,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,0.28006731270530527,0.2800673123184562,0.5540906481168403,0.28006731270530527,3.868490527914048e-10,,0.5096866559763896,1.1357483489991864,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
