scenario,task,seed,method,absolute_residual
ate_linear,static_ate,70000019,Random forest g-computation,0.16866188176746094
ate_linear,static_ate,70000019,Spline g-computation,0.07063006497692514
ate_linear,static_ate,70000019,Interaction g-computation,0.10735444091487478
ate_linear,static_ate,70000019,AIPW,0.2688098762161677
ate_linear,static_ate,70000019,DR learner (spline nuisances),0.1266464450798246
ate_linear,static_ate,70000020,Pretrained soft router,0.05089435562289163
ate_linear,static_ate,70000020,Pretrained hard top-1,0.03843297066939022
ate_linear,static_ate,70000020,Temperature-scaled router,0.0024829608757282948
ate_linear,static_ate,70000020,Uniform expert mean,0.08624261130738113
ate_linear,static_ate,70000020,Median expert,0.00020047838640357973
ate_linear,static_ate,70000020,Best fixed expert,0.00020047838640357973
ate_linear,static_ate,70000020,Metadata-only selector,0.00020047838640357973
ate_linear,static_ate,70000020,Shallow risk selector,0.00020047838640357973
ate_linear,static_ate,70000020,Convex stack,0.0026278589474591045
ate_linear,static_ate,70000020,Expert: linear,0.029276413816688995
ate_linear,static_ate,70000020,Expert: orthogonal,0.4460288565342412
ate_linear,static_ate,70000020,Expert: spline,0.03843297066939022
ate_linear,static_ate,70000020,Expert: interaction,0.00020047838640357973
ate_linear,static_ate,70000020,Expert: piecewise,0.005458764758230705
ate_linear,static_ate,70000020,Linear g-computation,0.02928011961726952
ate_linear,static_ate,70000020,Random forest g-computation,0.030133468547977046
ate_linear,static_ate,70000020,Spline g-computation,0.038432971600712795
ate_linear,static_ate,70000020,Interaction g-computation,0.00020047838640357973
ate_linear,static_ate,70000020,AIPW,0.4460288565342412
ate_linear,static_ate,70000020,DR learner (spline nuisances),0.12434117853642394
ate_linear,static_ate,70000021,Pretrained soft router,0.14905423661454098
ate_linear,static_ate,70000021,Pretrained hard top-1,0.25295045803564464
ate_linear,static_ate,70000021,Temperature-scaled router,0.15455247817170548
ate_linear,static_ate,70000021,Uniform expert mean,0.15856183599012763
ate_linear,static_ate,70000021,Median expert,0.13111850451010143
ate_linear,static_ate,70000021,Best fixed expert,0.11851528118627941
ate_linear,static_ate,70000021,Metadata-only selector,0.11851528118627941
ate_linear,static_ate,70000021,Shallow risk selector,0.25295045803564464
ate_linear,static_ate,70000021,Convex stack,0.17745477209555072
ate_linear,static_ate,70000021,Expert: linear,0.25295045803564464
