method,scenario,seed,status,global_search_p,critical_score,n_true_breaks_all,n_true_breaks_B,n_raw_breaks,n_B_breaks,segment_ari,segment_nmi,boundary_displacement,segment_relevance_precision,segment_relevance_recall,segment_relevance_f1,segment_relevance_loss_gain,pooled_AR_test_loss,pooled_VARX_test_loss,piecewise_VARX_test_loss,oracle_piecewise_VARX_test_loss,VARX_improvement_over_AR,piecewise_improvement_over_VARX,oracle_improvement_recovered,false_B_attribution,delta_B_relative_error,runtime_seconds,raw_break_precision,raw_break_recall,raw_break_f1,raw_break_fdr,raw_break_count_error,raw_break_exact_set,raw_break_localization_mae,raw_break_localization_median,raw_break_localization_rmse,raw_break_localization_normalized,raw_break_any_detection,B_break_precision,B_break_recall,B_break_f1,B_break_fdr,B_break_count_error,B_break_exact_set,B_break_localization_mae,B_break_localization_median,B_break_localization_rmse,B_break_localization_normalized,B_break_any_detection,relative_A_error,relative_B_error,B_support_precision,B_support_recall,B_support_f1,B_support_fdr,B_sign_accuracy,B_nonzero_rmse,bootstrap_B_break_jaccard,bootstrap_any_raw_break_frequency,bootstrap_any_B_break_frequency,bootstrap_mean_B_break_count,bootstrap_retained_B_change_probability
temporal_split_detection_method,mixed_A_B_break,2,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.43699127127979587,0.8437359055974717,0.6429236505648627,0.43055019770182096,0.4307141097785728,0.20081225503260902,0.2123734528630417,1.000772406726599,0.0,0.19665817884592462,0.3134724470000947,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.1171012251166032,0.19909555001556736,1.0,0.7916666666666666,0.8837209302325582,0.0,1.0,0.036436412034142815,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,mixed_A_B_break,3,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.4003135777395541,0.5691255876211321,0.4109628666311431,0.2894871657160032,0.2876663102952164,0.15816272098998896,0.12147570091513993,0.9852319036727529,0.0,0.24400333286002138,0.31276900200464297,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.12710639469546364,0.1561874898639814,1.0,0.75,0.8571428571428571,0.0,1.0,0.02058438554128038,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,mixed_A_B_break,4,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.45161205307655206,0.8112280336215241,0.5442967759110964,0.3762881949528562,0.37457526132092395,0.2669312577104277,0.16800858095824017,0.9899073866028801,0.0,0.16933410713927557,0.3180480540031567,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.10050847389681176,0.16367426511351185,1.0,0.6,0.7499999999999999,0.0,1.0,0.036517829516597926,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,B_zero_to_nonzero,0,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9659594786908223,0.9373458760056381,0.008571428571428563,1.0,1.0,1.0,0.28589827768664205,0.8356532788210291,0.6743176686045983,0.5108102816490457,0.5060562296367995,0.16133561021643084,0.16350738695555256,0.9717460397259765,0.0,0.13084945120921557,0.8766498080076417,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,0.008571428571428572,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,0.008571428571428572,1.0,0.17530981494933706,0.21432701774247384,1.0,0.75,0.8571428571428571,0.0,1.0,0.04227458785141256,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,B_zero_to_nonzero,1,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.05939021961126835,0.9502483807576941,0.9019363650326707,0.9019363650326707,0.8697497302435201,0.048312015725023416,0.0,0.0,0.0,,0.9398343289940385,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.18848713852414012,,0.0,1.0,0.0,1.0,,,1.0,0.0,0.0,0.0,
temporal_split_detection_method,B_zero_to_nonzero,2,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9772409141470718,0.9548900192035227,0.005714285714285672,1.0,1.0,1.0,0.18061693169590778,0.763364862292988,0.7035192322037265,0.6354487710887755,0.6338935065902108,0.05984563008926147,0.06807046111495096,0.9776625021159883,0.0,0.28770336680410563,0.9038295080099488,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,0.20998188874875146,0.4108547952298707,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,0.029135607156213224,0.8,1.0,1.0,1.0,1.0
temporal_split_detection_method,B_zero_to_nonzero,3,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.03016999938685968,0.7166132157550464,0.7022166338677301,0.7022166338677301,0.705090458689869,0.014396581887316295,0.0,-0.0,0.0,,0.8640537790051894,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.11057663474472974,,0.0,1.0,0.0,1.0,,,1.0,0.0,0.0,0.0,
temporal_split_detection_method,B_zero_to_nonzero,4,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9772409141470718,0.9548900192035227,0.005714285714285672,1.0,1.0,1.0,0.1514973019248597,0.7754091443147102,0.7257858869089806,0.6790201774913447,0.6747772966737324,0.04962325740572959,0.046765709417635914,0.9168202689381459,0.0,0.3168211697769283,0.8340545999963069,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,0.14920647189912364,0.5310428264071098,1.0,0.5,0.6666666666666666,0.0,1.0,0.04919729577745656,0.9,1.0,1.0,1.0,1.0
temporal_split_detection_method,B_nonzero_to_zero,0,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.256557612567393,0.8440422405822631,0.6949927077179998,0.5478135465409516,0.5437370014500299,0.14904953286426326,0.1471791611770482,0.9730486525665382,0.0,0.12947643525502553,0.8064324669976486,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.21081771972819124,0.1984137110155406,1.0,0.6666666666666666,0.8,0.0,1.0,0.028058614892934805,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,B_nonzero_to_zero,1,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.05237756649379182,0.9405380185995721,0.8976053973870995,0.8976053973870995,0.8918511716127681,0.042932621212472544,0.0,0.0,0.0,,0.7357504059909843,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.23646814752424808,0.5909147118936774,1.0,0.42857142857142855,0.6,0.0,1.0,0.15334365347854742,1.0,0.0,0.0,0.0,
temporal_split_detection_method,B_nonzero_to_zero,2,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.16078341430838863,0.7783893560454,0.7301183826204123,0.6526244679018739,0.6523763157037091,0.04827097342498776,0.07749391471853839,0.9968080061669746,0.0,0.27005423029243314,0.9180138600058854,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.2810586727789181,0.38616159521636495,1.0,0.8333333333333334,0.9090909090909091,0.0,1.0,0.05008307238138652,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,B_nonzero_to_zero,3,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.035071865029024867,0.7144728076472244,0.6946588304459428,0.6946588304459428,0.70341220343197,0.01981397720128164,0.0,-0.0,0.0,,0.8737250950071029,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.10112986206917385,0.559647089998915,1.0,0.6666666666666666,0.8,0.0,1.0,0.08356354356406742,1.0,0.0,0.0,0.0,
temporal_split_detection_method,B_nonzero_to_zero,4,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.09817060490449292,0.7640142766930973,0.71007591476303,0.71007591476303,0.6616708662572739,0.05393836193006729,0.0,0.0,0.0,,0.2903049260057742,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.11738873977022254,0.4901445889806809,1.0,0.25,0.4,0.0,1.0,0.12934914257618044,1.0,0.0,0.0,0.0,
temporal_split_detection_method,high_persistence,0,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.5283373792796867,0.5631997183772327,0.2957407639281437,0.2449531444876264,0.24455920349525084,0.267458954449089,0.050787619440517295,0.9923030679595619,0.0,0.16472805258609685,0.5805100049910834,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.07423925364274099,0.09852769867062186,1.0,0.7692307692307693,0.8695652173913044,0.0,1.0,0.02553085286231314,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,high_persistence,1,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9772409141470718,0.9548900192035227,0.005714285714285672,1.0,1.0,1.0,0.2882989891586022,0.8318023803513962,0.6708427401375204,0.5881460144357629,0.587232214727533,0.16095964021387577,0.08269672570175757,0.9890707574943578,0.0,0.38738473081732305,0.4927348760102177,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,0.1854840050489085,0.2573014542595498,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.07692307692307693,1.0,0.05769823677357501,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,high_persistence,2,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.2626718968460714,0.1459215133667017,0.12063496529562821,0.09774900597497266,0.09789096443397087,0.025286548071073486,0.022885959320655555,1.0062415781577607,0.0,0.32926662094467124,0.32267544900241774,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.07846242656540608,0.2619314309771641,1.0,0.4666666666666667,0.6363636363636364,0.0,1.0,0.020006903616323107,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,high_persistence,3,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9772409141470718,0.9548900192035227,0.005714285714285672,1.0,1.0,1.0,0.31546788382785307,0.08666311995043863,0.07075519591315088,0.05673550038492018,0.0561648952326833,0.015907924037287746,0.014019695528230701,0.9608914740872502,0.0,0.27315699074156424,0.5429246560088359,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.005714285714285714,1.0,0.07602174842132363,0.20840614403325777,1.0,0.5,0.6666666666666666,0.0,1.0,0.018081022327572496,1.0,1.0,1.0,1.0,1.0
